"","X","ID","SURVEY1w7","PARENTw7","BRT1Aw7","BRT2Aw7","BRT2Bw7","ARA2Aw7","ARA2Bw7","HOUSEw7","HAK2Aw7","HAK2Bw7","JOB1Aw7","JOB1Bw7","JOB4Aw7","JOB4Bw7","INCOMEw7","INCOME1w7","PAR2w7","PHY1Aw7","PHY1Bw7","PHY3Aw7","PSY1A06w7","PSY1A07w7","PSY1B01w7","PSY1B02w7","PSY1B03w7","PSY1B04w7","PSY1B05w7","PSY1B06w7","PSY1D01w7","PSY1D02w7","PSY1D03w7","PSY1D04w7","PSY1D05w7","PSY1E01w7","PSY1E02w7","PSY1E03w7","PSY1E04w7","PSY1E05w7","PSY1E06w7","PSY1E07w7","PSY1E08w7","PSY1E09w7","PSY1E10w7","PSY2A01w7","PSY2A02w7","PSY2A03w7","PSY2A04w7","PSY2A05w7","PSY2A06w7","PSY2A07w7","PSY2A08w7","PSY2A09w7","PSY2A10w7","PSY3B01w7","PSY3B02w7","PSY3B03w7","FAM1Aw7","FAM1Bw7","FAM1Cw7","FAM1Dw7","FAM3A04w7","FAM3B01w7","FAM3B02w7","FAM3B03w7","FAM3B04w7","abuse_sum"
"1856",2173,152226,"조사성공","어머니",2003,1966,1967,"경상남도",3704,"단독 주택","고졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","기능원 및 관련 기능 종사자",NA,7200,"보통(중간) 수준","만족하지 못하는 편이다",161,49,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,1,7
"1857",2174,152227,"조사성공","어머니",2003,1972,1974,"경상남도",3704,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있지 않다","판매종사자",NA,5500,"보통(중간) 수준","매우 만족한다",164,47,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,2,8
"1858",2175,152301,"조사성공","어머니",2003,1979,1978,"경상남도",3713,"연립 주택","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","단순노무종사자",NA,2500,"잘 사는 편","만족하지 못하는 편이다",154,47,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,2,1,1,7
"1859",2176,152302,"조사성공","어머니",2003,1976,1974,"경상남도",3713,"연립 주택","고졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","판매종사자",NA,3700,"보통(중간) 수준","만족하는 편이다",155,48,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","매우 그렇다","매우 그렇다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,2,1,1,6
"1860",2178,152305,"조사성공","어머니",2003,1969,1971,"경상남도",3713,"아파트","고졸","전문대 졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","전문가 및 관련종사자",4000,"보통(중간) 수준","만족하는 편이다",162,48,"매우 건강하다","매우 그렇다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"1861",2179,152307,"조사성공","어머니",2003,1965,1969,"경상남도",3713,"연립 주택","고졸","대졸","일을 하고 있다","일을 하고 있지 않다","장치, 기계조작 및 조립종사자",NA,3000,"보통(중간) 수준","만족하는 편이다",166,47,"매우 건강하다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,2,8
"1862",2180,152309,"조사성공","어머니",2003,1966,1974,"경상남도",3713,"단독 주택","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","전문가 및 관련종사자",10000,"잘 사는 편","만족하는 편이다",156,64,"매우 건강하다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,3,3,3,12
"1863",2181,152310,"조사성공","어머니",2003,1967,NA,"경상남도",3713,"단독 주택","고졸","해당사항 없음","일을 하고 있다","해당사항 없음","판매종사자",NA,2000,"보통(중간) 수준","만족하는 편이다",169,53,"건강한 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","한 부모(아버지 또는 어머니)+자녀","친아버지만","다문화 가정이 아니다","있다","매우 그렇다",2,2,2,2,8
"1864",2182,152311,"조사성공","어머니",2003,1974,NA,"경상남도",3713,"연립 주택","고졸","해당사항 없음","일을 하고 있다","해당사항 없음","단순노무종사자",NA,3500,"잘 사는 편","만족하는 편이다",169,45,"매우 건강하다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","매우 그렇다","(한)조부모+한 부모+자녀","친아버지만","다문화 가정이 아니다","없다","그런 편이다",2,1,1,1,5
"1865",2183,152313,"조사성공","어머니",2003,1971,1973,"경상남도",3713,"아파트","전문대 졸","고졸","일을 하고 있다","일을 하고 있지 않다","기능원 및 관련 기능 종사자",NA,5000,"보통(중간) 수준","만족하는 편이다",182,60,"건강한 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,3,3,4,13
"1866",2184,152314,"조사성공","어머니",2003,1969,1974,"경상남도",3713,"단독 주택","대졸","고졸","일을 하고 있다","일을 하고 있다","사무종사자","사무종사자",3500,"보통(중간) 수준","만족하는 편이다",172,65,"건강한 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","그렇지 않은 편이다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",1,1,1,1,4
"1867",2185,152315,"조사성공","어머니",2003,1974,1978,"경상남도",3713,"다세대(가구) 주택","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있지 않다","장치, 기계조작 및 조립종사자",NA,3000,"보통(중간) 수준","만족하지 못하는 편이다",150,52,"건강한 편이다","매우 그렇다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","(한)조부모+부모+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,2,2,1,8
"1868",2186,152316,"조사성공","어머니",2003,1963,1970,"경상남도",3713,"단독 주택","대졸","대졸","일을 하고 있다","일을 하고 있다","전문가 및 관련종사자","전문가 및 관련종사자",4000,"약간 잘 사는 편","만족하는 편이다",162,59,"매우 건강하다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,3,3,2,11
"1869",2187,152317,"조사성공","어머니",2003,1970,1974,"경상남도",3713,"아파트","대졸","대졸","일을 하고 있다","일을 하고 있다","관리자","전문가 및 관련종사자",7000,"보통(중간) 수준","만족하는 편이다",160,50,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","없다","그런 편이다",2,1,1,1,5
"1870",2188,152318,"조사성공","어머니",2003,1971,NA,"경상남도",3713,"단독 주택","대졸","해당사항 없음","일을 하고 있다","해당사항 없음","기능원 및 관련 기능 종사자",NA,3000,"보통(중간) 수준","만족하는 편이다",175,50,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","(한)조부모+한 부모+자녀","친아버지만","다문화 가정이 아니다","있다","그런 편이다",2,2,2,3,9
"1871",2189,152319,"조사성공","어머니",2003,1972,1972,"경상남도",3713,"단독 주택","전문대 졸","고졸","일을 하고 있다","일을 하고 있다","기능원 및 관련 기능 종사자","단순노무종사자",3500,"보통(중간) 수준","만족하는 편이다",156,43,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,1,1,1,5
"1872",2190,152321,"조사성공","어머니",2003,1971,1973,"경상남도",3713,"단독 주택","고졸","고졸","일을 하고 있다","일을 하고 있다","서비스종사자","판매종사자",3500,"보통(중간) 수준","만족하는 편이다",167,55,"건강한 편이다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","그런 편이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그런 편이다","그런 편이다","그렇지 않은 편이다","매우 그렇다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",3,4,4,4,15
"1873",2191,152322,"조사성공","어머니",2003,1973,1973,"경상남도",3713,"아파트","전문대 졸","전문대 졸","일을 하고 있다","일을 하고 있다","장치, 기계조작 및 조립종사자","사무종사자",5000,"보통(중간) 수준","만족하는 편이다",164,63,"건강한 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,1,7
"1874",2192,152323,"조사성공","어머니",2003,1975,1977,"경상남도",3713,"아파트","고졸","고졸","일을 하고 있다","일을 하고 있다","단순노무종사자","판매종사자",3000,"약간 잘 사는 편","만족하는 편이다",154,47,"건강한 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",3,3,2,1,9
"1875",2193,152324,"조사성공","어머니",2003,1975,1974,"경상남도",3713,"단독 주택","해당사항 없음","전문대 졸","해당사항 없음","일을 하고 있지 않다",NA,NA,2000,"보통(중간) 수준","만족하는 편이다",153,42,"매우 건강하다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","매우 그렇다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그런 편이다","매우 그렇다","한 부모(아버지 또는 어머니)+자녀","친어머니만","다문화 가정이 아니다","있다","그런 편이다",2,1,1,1,5
"1876",2194,152325,"조사성공","어머니",2003,1968,1972,"경상남도",3713,"단독 주택","대졸","전문대 졸","일을 하고 있다","일을 하고 있다","관리자","판매종사자",6000,"약간 잘 사는 편","만족하는 편이다",170,78,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그런 편이다","전혀 그렇지 않다","그런 편이다","그런 편이다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","그렇지 않은 편이다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","매우 그렇다",2,1,1,1,5
"1877",2195,152326,"조사성공","어머니",2003,1966,1972,"경상남도",3713,"단독 주택","대졸","대졸","일을 하고 있다","일을 하고 있지 않다","판매종사자",NA,4800,"보통(중간) 수준","만족하는 편이다",164,57,"건강한 편이다","매우 그렇다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,2,2,2,8
"1878",2196,152327,"조사성공","어머니",2003,1968,1976,"경상남도",3713,"다세대(가구) 주택","전문대 졸","해당사항 없음","일을 하고 있다","해당사항 없음","판매종사자",NA,5000,"보통(중간) 수준","만족하는 편이다",158,48,"건강한 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그렇지 않은 편이다","그런 편이다","한 부모(아버지 또는 어머니)+자녀","친아버지만","다문화 가정이 아니다","있다","그런 편이다",1,1,1,1,4
"1879",2197,152328,"조사성공","어머니",2003,1971,1975,"경상남도",3713,"아파트","대학원 졸","대졸","일을 하고 있다","일을 하고 있다","관리자","전문가 및 관련종사자",7000,"보통(중간) 수준","매우 만족한다",162,64,"건강한 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","그렇지 않은 편이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","매우 그렇다","전혀 그렇지 않다","그런 편이다","그런 편이다","그렇지 않은 편이다","전혀 그렇지 않다","그런 편이다","그렇지 않은 편이다","그런 편이다","그런 편이다","그런 편이다","매우 그렇다","그런 편이다","부모(아버지와 어머니)+자녀","친아버지+친어머니","다문화 가정이 아니다","있다","그런 편이다",2,1,1,1,5
